11-15  Per Capita Annual Cash Consumption Expenditure of Urban Households by Region (2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,(yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,Food,,,,,"Meat,",,,,,,,,Dried and,,,,,,Clothing,,,,,Residence,,,Household,,,,,,,Transport,,,"Education,",,,,Health,Others,,
,Consumption,,Grain,Starches,Beans and,Oil and,Poultry and,Eggs,Aquatic,Vegetables,Condiments,Sugar,Tobacco,Liquor and,Fresh,Cake,Milk and,Other,Dining,Food,,Garments,Clothing,Shoes,Tailoring and,,Housing,"Water, Elec-",Facilities,Durable,Articles,Bed,Household,Furniture,Household,and,Transport,Communi-,Culture and,Recreation,Education,Recreation,Care and,,Other,Other
,Expenditure,,,and Tubers,Bean,Fats,Processed,,Products,,,,,Beverages,Melons,,Processed,Food,Out,Processing,,,Materials,,Laundering,,,"tricity, Fuels",and,Consumer,for Interior,Articles,Articles for,Materials,Services,Communi-,,cations,Recreation,Articles,,Services,Medical,,Goods,Services
,,,,,Products,,Products,,,,,,,,and Fruits,,Products,,,Service Fees,,,,,Service Fees,,,and Others,Articles,Goods,Decoration,,Daily Use,,,cations,,,,,,,Services,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Guangxi,14243.98,5552.56,387.45,37.30,69.62,143.58,1617.61,83.19,378.22,521.24,45.74,60.04,164.41,165.68,406.75,100.08,189.55,56.13,1123.88,2.09,1146.46,874.12,6.40,232.39,6.17,1377.26,498.69,804.54,1125.39,531.67,38.79,104.63,369.54,2.11,78.64,2088.64,1448.53,640.12,1626.05,424.81,679.88,521.37,883.56,444.06,295.76,148.30
  Hainan,14456.55,6556.10,330.15,28.90,35.51,151.43,1840.30,60.81,963.24,726.07,53.56,32.82,156.74,113.14,377.61,83.11,144.75,33.26,1424.35,0.33,864.96,675.77,0.75,167.11,1.60,1521.04,572.35,839.52,777.20,269.74,13.27,47.84,420.37,8.15,17.83,2004.34,1261.77,742.57,1319.54,322.41,572.28,424.84,993.24,420.13,287.43,132.70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Chongqing,16573.14,6870.23,417.12,59.87,82.88,266.56,1591.79,135.26,266.13,797.03,137.92,74.79,323.04,244.37,460.46,85.30,317.50,99.43,1505.04,5.75,2228.76,1633.46,12.38,490.29,7.95,1177.02,292.95,733.10,1196.03,414.35,27.13,154.12,499.73,32.57,68.13,1903.24,1090.36,812.88,1470.64,332.67,480.59,657.39,1101.56,625.66,428.40,197.26
  Sichuan,15049.54,6073.86,413.09,73.96,72.03,195.95,1512.48,120.48,185.40,710.36,115.95,64.07,283.69,251.90,425.78,78.21,269.99,65.73,1231.24,3.56,1651.14,1234.58,8.48,351.79,9.28,1284.09,433.98,716.64,1097.93,414.60,18.67,107.75,482.16,10.61,64.16,1946.72,1088.11,858.61,1587.43,376.95,622.15,588.32,772.75,635.62,353.96,281.66
  Guizhou,12585.70,4992.85,395.96,31.13,58.77,167.13,1147.14,79.12,99.05,558.19,67.21,61.01,308.76,222.31,408.36,74.61,169.88,86.95,1054.53,2.72,1399.00,1005.75,15.02,337.48,3.93,1013.53,212.52,731.03,849.94,270.72,13.46,85.38,401.78,10.79,67.81,1891.03,1146.18,744.85,1396.00,315.85,499.87,580.28,654.53,388.82,265.74,123.08
  Yunnan,13883.93,5468.17,408.86,48.84,40.81,155.16,1138.47,69.72,116.62,744.88,65.53,51.71,456.40,143.83,422.47,155.90,216.00,59.61,1172.06,1.29,1759.89,1269.15,13.04,437.75,2.42,973.76,402.05,498.82,634.09,241.99,11.89,54.76,274.62,1.37,49.46,2264.23,1476.18,788.05,1434.30,288.71,502.94,642.65,939.13,410.35,247.80,162.55
  Tibet,11184.33,5517.69,462.52,26.98,10.51,143.22,1204.78,41.05,50.96,682.52,59.32,53.66,496.27,299.33,315.56,33.67,398.54,156.05,1079.75,2.98,1361.57,946.79,3.99,390.23,6.79,845.18,190.25,618.74,474.69,95.16,34.12,92.96,233.80,8.80,9.85,1387.45,582.29,805.16,550.48,139.16,225.41,185.91,467.23,580.05,319.78,260.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Shaanxi,15332.84,5550.71,441.54,65.40,75.20,142.18,716.92,98.47,116.03,538.90,87.52,52.66,284.20,278.52,527.62,157.30,273.33,116.87,1577.08,0.96,1789.06,1321.91,11.07,397.06,9.60,1322.22,335.10,878.23,986.82,369.93,26.79,92.50,447.07,1.58,48.95,1788.38,1046.19,742.19,2078.52,443.02,955.48,680.02,1212.44,604.69,410.20,194.49
