10-16  Per Capita Annual Consumption Expenditure of Urban Households by Region (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(yuan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,,Food,,,,,,,,,,,,,,,,,,,Clothing,,,,,Residence,,,,,,,,,,,,,,,,,,,,
,Consumption,,Grain,Starches,Beans and,Oil and,"Meat,",Eggs,Aquatic,Vegetables,Condiments,Sugar,Tobacco,Liquor and,Dried and,Cake,Milk and,Other,Dining,Food,,Garments,Clothing,Shoes,Tailoring and,,Housing,"Water, Elec-",Household,Durable,Articles,Bed,Household,Furniture,Household,Care and,and,Transport,Communi-,"Education,",Recreation,Education,Recreation,Miscellaneous,Miscellaneous,Services
,Expenditure,,,and Tubers,Bean,Fats,Poultry and,,Products,,,,,Beverages,Fresh,,Processed,Food,Out,Processing,,,Materials,,Laundering,,,"tricity, Fuels","Facilities,",Consumer,for Interior,Articles,Articles for,Materials,Services,Medical,Communi-,,cations,Culture and,Articles,,Services,Goods,Goods,
,,,,,Products,,Processed,,,,,,,Beverages,Melons,,Products,,,Service Fees,,,,,Service Fees,,,and Others,Articles and,Goods,Decoration,,Daily Use,,,Services,cations,,,Recreation,,,,and Services,,
,,,,,,,Products,,,,,,,,and Fruits,,,,,,,,,,,,,,Services,,,,,,,,,,,Services,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Guangxi,11490.08,4372.75,321.35,27.78,62.27,93.84,1280.94,69.24,293.42,428.87,38.57,42.27,123.30,131.71,329.18,76.10,152.45,63.39,836.69,1.38,926.42,699.13,6.41,194.01,3.79,1166.85,361.45,749.36,853.59,427.17,10.42,63.02,308.31,5.47,39.19,625.45,1973.04,1330.24,642.80,1243.71,389.32,454.47,399.92,328.27,209.15,119.12
  Hainan,10926.71,4895.96,307.56,22.12,28.57,117.67,1285.53,51.22,669.83,528.01,45.62,26.76,155.39,111.46,297.01,70.06,160.75,44.81,973.47,0.12,636.14,504.77,0.64,116.99,1.92,1103.76,298.15,714.14,616.33,211.88,10.91,37.38,326.64,4.31,25.21,579.89,1805.11,1177.70,627.40,1004.62,226.20,481.67,296.75,284.90,186.13,98.77
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Chongqing,13335.02,5012.56,311.81,39.19,62.47,199.45,1142.96,101.66,190.51,559.89,97.50,57.01,260.70,171.39,309.52,73.30,234.68,70.43,1126.43,3.67,1697.55,1249.02,8.08,378.44,6.49,1275.96,460.67,669.58,1072.38,490.55,47.15,131.75,337.28,24.18,41.47,1021.48,1384.28,622.97,761.30,1408.02,343.98,472.43,591.61,462.79,320.27,142.52
  Sichuan,12105.09,4779.60,336.37,53.77,61.95,166.62,1177.98,93.47,144.56,580.03,98.87,51.48,276.91,214.08,323.71,70.48,203.04,60.61,861.22,4.45,1259.49,911.65,8.44,279.93,9.31,1126.65,423.41,612.32,876.34,380.93,36.91,64.58,339.24,5.13,49.55,661.03,1674.14,933.20,740.95,1224.73,318.00,435.13,471.59,503.11,248.13,254.98
  Guizhou,10058.29,4013.67,320.00,19.45,49.79,137.06,880.80,65.76,81.01,457.11,58.70,43.48,278.65,172.84,316.56,68.66,154.78,88.27,818.58,2.17,1102.41,788.10,18.62,258.57,3.70,890.75,189.61,637.54,673.33,199.59,18.90,47.55,328.44,24.45,54.41,546.84,1270.49,606.34,664.15,1254.56,269.35,494.03,491.18,306.24,181.29,124.95
  Yunnan,11074.08,4593.49,335.31,31.99,49.70,81.44,882.90,72.53,122.38,562.90,46.78,34.99,434.46,140.81,315.52,83.05,89.80,64.54,1242.76,1.64,1158.82,840.80,8.09,283.36,2.61,835.45,302.11,473.26,509.41,220.31,17.13,43.78,208.06,0.94,19.18,637.89,2039.67,1360.27,679.39,1014.40,246.78,323.00,444.63,284.95,182.90,102.05
  Tibet,9685.54,4847.58,432.38,33.54,5.21,163.40,1084.98,53.89,51.08,566.63,45.92,59.19,408.16,298.35,248.62,38.04,310.55,82.02,964.20,1.41,1158.60,842.03,5.47,287.74,3.86,726.59,137.00,560.36,376.43,75.62,19.57,87.35,178.81,4.56,10.51,385.63,1230.94,569.12,661.81,477.95,144.64,198.22,135.10,481.82,232.58,249.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Shaanxi,11821.88,4381.40,390.19,53.95,69.59,110.86,533.01,79.56,86.70,443.78,64.86,37.44,283.99,227.22,393.86,116.65,224.00,100.16,1164.90,0.66,1428.20,1035.04,12.43,335.04,9.72,1126.92,271.64,782.49,723.73,288.92,19.65,56.66,329.15,3.40,25.94,935.38,1194.77,571.79,622.98,1595.80,378.36,752.05,465.40,435.67,279.98,155.69
  Gansu,9895.35,3702.18,352.83,40.73,46.27,134.30,529.16,70.19,72.29,437.07,62.17,30.63,220.24,204.79,327.13,61.63,168.11,159.19,784.97,0.49,1255.69,889.83,16.98,288.50,6.82,910.34,160.42,689.35,597.72,268.67,22.02,49.56,233.25,6.48,17.75,828.57,1076.63,477.29,599.33,1136.70,313.37,477.39,345.94,387.53,268.12,119.41
  Qinghai,9613.79,3784.81,452.34,37.60,34.37,107.83,708.90,66.87,83.40,405.40,50.02,38.73,185.01,224.59,308.84,62.13,187.53,101.02,729.74,0.49,1185.56,854.44,6.35,257.03,8.24,923.52,164.04,685.35,644.01,266.21,37.88,49.02,255.71,19.18,16.01,718.78,1116.56,614.17,502.39,908.07,274.94,349.73,283.40,332.49,219.77,112.72
  Ningxia,11334.43,3768.09,343.10,49.36,48.16,111.58,626.04,56.92,70.21,370.71,47.67,36.01,239.60,165.73,360.36,54.69,176.87,107.80,902.98,0.30,1417.47,1052.31,11.94,306.30,8.82,1181.71,319.59,782.04,716.22,318.48,21.62,50.94,288.52,9.71,26.94,890.05,1574.57,1030.01,544.56,1286.20,371.16,484.40,430.64,500.12,350.49,149.63
  Xinjiang,10197.09,3694.81,362.74,41.08,36.93,131.07,815.84,68.38,87.82,363.33,41.76,47.10,101.52,142.49,363.77,77.10,164.52,59.04,788.94,1.41,1513.42,1073.12,16.84,350.45,15.06,898.38,256.17,579.77,669.87,259.25,33.83,46.50,296.78,4.33,29.19,708.16,1255.87,742.61,513.26,1012.37,305.39,433.34,273.64,444.20,336.56,107.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
